Mol ID,Molecule Name,MW,AlogP,Hdon,Hacc,OB (%),Caco-2,BBB,DL,FASA-,HL
MOL000057,DIBP,278.38,3.92,0,4,49.63,0.85,0.68,0.13,0.00,3.94
MOL000609,"(1R,5S)-7,7-dimethyl-4-bicyclo[3.1.1]hept-3-enecarboxaldehyde",150.24,2.04,0,1,40.64,1.34,1.67,0.06,0.28,11.44
MOL000610,TRD,184.41,6.30,0,0,17.89,1.78,1.96,0.03,0.19,
MOL000628,darutoside,574.93,5.89,4,6,21.32,-0.26,-0.96,0.63,0.22,
MOL000635,vanillin,152.16,1.31,1,3,52.00,0.68,0.41,0.03,0.33,11.79
MOL000666,hexanal,100.18,1.85,0,1,55.71,1.25,1.52,0.01,0.23,10.96
MOL000667,1-hexanol,102.20,1.88,1,1,22.04,1.08,1.21,0.01,0.19,
MOL000668,PENTYLFURAN,138.23,3.12,0,1,54.59,1.72,1.94,0.02,0.10,-1.96
MOL000675,oleic acid,282.52,6.84,1,2,33.13,1.17,0.78,0.14,0.20,4.99
MOL000676,DBP,278.38,4.20,0,4,64.54,0.80,0.56,0.13,0.34,5.41
MOL000069,palmitic acid,256.48,6.37,1,2,19.30,1.09,1.00,0.10,0.00,
MOL000705,WLN: VH6,114.21,2.31,0,1,19.59,1.29,1.49,0.01,0.23,
MOL000707,Heptenal,112.19,2.29,0,1,37.16,1.30,1.56,0.01,0.30,3.96
MOL000708,WLN: VHR,106.13,1.59,0,1,32.63,1.32,1.66,0.01,0.44,12.07
MOL000710,OYA,128.24,2.77,0,1,19.07,1.30,1.52,0.01,0.23,
MOL000715,l-Menthone,154.28,2.60,0,1,57.90,1.35,1.70,0.03,0.24,10.57
MOL000716,trans-2-nonenal,140.25,3.20,0,1,19.18,1.37,1.59,0.02,0.27,
MOL000723,"trans-2,4-decadienal",152.26,3.21,0,1,51.03,1.40,1.49,0.02,0.32,7.44
MOL000724,Geranylacetone,194.35,3.62,0,1,18.66,1.50,1.55,0.04,0.29,
MOL000860,stearic acid,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,
MOL000864,MYS,212.47,7.22,0,0,13.98,1.81,1.92,0.05,0.15,
MOL000872,"(6R)-2,6-dimethyloctane",142.32,4.53,0,0,18.15,1.79,2.06,0.01,0.22,
MOL000873,CYH,98.16,1.17,0,1,74.99,1.21,1.77,0.01,0.22,11.11
MOL000878,Farnesylacetone,262.48,5.45,0,1,37.84,1.61,1.56,0.10,0.29,5.22
MOL000886,tetradecane,198.44,6.76,0,0,15.94,1.79,1.78,0.04,0.15,
MOL000918,2-NONANONE,142.27,2.70,0,1,8.51,1.34,1.62,0.02,0.24,
MOL000922,(R)-p-Menth-1-en-4-ol,154.28,2.55,1,1,32.16,1.33,1.52,0.03,0.26,11.39
MOL000924,Mnk,170.33,3.62,0,1,17.66,1.40,1.64,0.03,0.22,
MOL000932,alpha-Farnesene,204.39,5.46,0,0,21.70,1.97,1.89,0.05,0.32,
MOL000974,cuminal,148.22,2.78,0,1,38.29,1.39,1.61,0.03,0.36,1.94
MOL000098,quercetin,302.25,1.50,5,7,46.43,0.05,-0.77,0.28,0.38,14.40
MOL000116,Nonanal,142.27,3.22,0,1,40.28,1.31,1.50,0.02,0.21,6.35
MOL000121,Decanal,156.30,3.68,0,1,29.81,1.34,1.44,0.02,0.20,
MOL000125,(-)-alpha-Pinene,136.26,2.87,0,0,46.25,1.85,2.30,0.05,0.25,11.42
MOL000172,Furol,96.09,0.99,0,2,34.35,1.08,1.51,0.01,0.20,4.53
MOL000263,oleanolic acid,456.78,6.42,2,3,29.02,0.59,0.07,0.76,0.25,
MOL000474,(-)-Epoxycaryophyllene,220.39,3.52,0,1,35.94,1.57,1.83,0.13,0.00,6.09
MOL000601,O-Methylthymol,164.27,3.49,0,1,47.65,1.75,1.87,0.04,0.28,11.49
MOL000607,Dehydro-p-cymene,132.22,3.31,0,0,11.63,1.88,1.93,0.02,0.44,
MOL000608,()-Terpinen-4-ol,154.28,2.55,1,1,81.41,1.36,1.66,0.03,0.25,10.81
MOL000615,delta-amorphene,204.39,4.94,0,0,17.95,1.85,1.99,0.08,0.24,
MOL000703,2-heptanone,114.21,1.79,0,1,46.56,1.31,1.57,0.01,0.25,10.58
MOL000709,(S)-Matsutake alcohol,128.24,2.53,1,1,40.11,1.19,1.35,0.01,0.28,5.62
MOL000711,"2,4-Heptdienal",110.17,1.84,0,1,19.14,1.29,1.54,0.01,0.38,
MOL000713,(E)-oct-3-en-2-one,126.22,2.23,0,1,30.50,1.34,1.56,0.01,0.31,1.12
MOL000714,Hyacinthin,120.16,1.52,0,1,38.65,1.31,1.58,0.02,0.43,-2.04
MOL000721,Nonadienal,138.23,2.75,0,1,19.03,1.38,1.56,0.02,0.33,
MOL000749,Linoleic,280.50,6.39,1,2,41.90,1.23,0.81,0.14,0.23,5.27
MOL000867,Heptadekan,240.53,8.13,0,0,8.64,1.84,1.87,0.07,0.14,
MOL000868,LFA,282.62,9.50,0,0,8.46,1.83,1.80,0.13,0.13,
MOL000869,Henicosane,296.65,9.95,0,0,8.41,1.84,1.80,0.15,0.13,
MOL000874,paeonol,166.19,1.29,1,3,28.79,0.93,0.84,0.04,0.32,
MOL000937,58870_FLUKA,204.39,4.36,0,0,49.01,1.82,2.08,0.10,0.22,12.47
MOL001210,(4S)-4-isopropylcyclohexene-1-carbaldehyde,152.26,2.86,0,1,40.36,1.36,1.69,0.03,0.28,1.98
MOL001223,"(S)-2,2,3-Trimethylcyclopent-3-ene-1-acetaldehyde",152.26,2.19,0,1,45.18,1.32,1.71,0.03,0.31,11.43
MOL001285,octanol,130.26,2.80,1,1,21.06,1.16,1.23,0.01,0.17,
MOL001312,9-HEXADECENOIC ACID,254.46,5.92,1,2,35.78,1.10,0.85,0.10,0.20,5.61
MOL001397,cis-Hept-2-enal,112.19,2.29,0,1,40.19,1.29,1.64,0.01,0.31,4.03
MOL001402,Octacosane,394.86,13.15,0,0,8.15,1.91,1.46,0.37,0.12,
MOL001578,Hypnon,120.16,1.57,0,1,48.19,1.36,1.54,0.02,0.45,25.20
MOL001606,BB_NC-0668,204.39,4.75,0,0,35.57,1.83,2.02,0.08,0.27,7.23
MOL001732,IFP,92.11,-1.41,3,3,72.87,-0.97,-2.63,0.01,0.20,11.45
MOL001752,EUG,150.19,2.10,1,2,38.39,1.36,1.35,0.03,0.36,11.57
MOL001816,Amide HPL,255.50,5.77,2,2,19.79,1.22,1.30,0.10,0.17,
MOL002338,136458-42-9,220.39,3.01,1,1,80.86,1.42,1.62,0.12,0.26,12.34
MOL002484,Isovaleral,86.15,1.19,0,1,44.71,1.20,1.60,0.00,0.27,11.36
MOL002675,Hexenal,98.16,1.83,0,1,46.01,1.29,1.66,0.01,0.31,11.37
MOL003060,Hexadienal,96.14,1.39,0,1,38.55,1.25,1.57,0.01,0.42,11.68
MOL003127,Germacrene D,204.39,5.14,0,0,19.22,1.83,2.02,0.06,0.00,
MOL003443,2-Decenal,154.28,3.66,0,1,18.56,1.38,1.67,0.02,0.28,
MOL003529,m-Methylacetophenone,134.19,2.06,0,1,40.63,1.39,1.44,0.02,0.43,24.94
MOL003613,Silvan,82.11,1.08,0,1,44.65,1.69,2.07,0.01,0.06,4.36
MOL003937,"Naphthalene, 1,2,3,4,4a,5,6,8a-octahydro-7-methyl-4-methylene-1-(1-methylethyl)-, (1alpha,4abeta,8aalpha)-",204.39,4.80,0,0,20.21,1.87,2.06,0.08,0.26,
MOL003997,3-Furaldehyde,96.09,0.69,0,2,50.96,1.04,1.21,0.01,0.19,-3.08
MOL004119,5-METHYLFURFURAL,110.12,1.13,0,2,43.92,1.07,1.48,0.01,0.16,11.90
MOL004480,acetic acid,60.06,-0.23,1,2,47.87,0.42,0.72,0.00,0.29,12.21
MOL005021,Mipax,194.20,1.54,0,4,57.40,0.64,0.63,0.06,0.00,5.56
MOL005120,PLY,240.48,6.42,0,1,16.54,1.44,1.28,0.08,0.18,
MOL005649,4-Methoxysalicyaldehyde,152.16,1.31,1,3,29.67,0.88,1.04,0.03,0.32,
MOL006287,α-muurolene,204.39,4.75,0,0,15.64,1.84,2.11,0.08,0.25,
MOL006735,Furfuranol,98.11,0.62,1,2,48.27,0.82,0.91,0.01,0.13,4.26
MOL007553,(-)-beta-Fenchol,154.28,2.11,1,1,79.24,1.30,1.60,0.05,0.23,11.19
MOL007587,Azole,67.10,0.92,1,0,27.75,1.76,2.32,0.00,0.01,
MOL007934,2-Hexanoylfuran,166.24,3.00,0,2,56.20,1.30,1.45,0.03,0.18,12.95
MOL008653,Acetylfuran,110.12,0.97,0,2,49.63,1.09,1.29,0.01,0.14,17.67
MOL008661,Vinyl amyl ketone,126.22,2.49,0,1,19.82,1.38,1.54,0.01,0.31,
MOL008672,ZINC00901303,86.15,1.40,0,1,54.16,1.24,1.67,0.00,0.28,11.36
MOL010621,"2,4-octadienal",124.20,2.30,0,1,21.67,1.34,1.60,0.01,0.36,
MOL011598,Nerylacetone,194.35,3.62,0,1,45.53,1.46,1.58,0.04,0.31,6.54
MOL011602,py,79.11,0.68,0,1,42.32,1.48,1.92,0.01,0.31,12.12
MOL012439,"(1Z,4E,8E)-2,6,6,9-tetramethylcycloundeca-1,4,8-triene",204.39,5.04,0,0,22.83,1.84,2.07,0.06,0.28,
MOL013068,Oroxindin,459.41,0.21,4,11,7.07,-1.68,-2.15,0.77,0.04,
MOL001300,PEL,122.18,1.55,1,1,44.03,1.11,1.13,0.02,0.37,-2.41
MOL001689,acacetin,284.28,2.59,2,5,34.97,0.67,-0.05,0.24,0.35,17.25
MOL000173,wogonin,284.28,2.59,2,5,30.68,0.79,0.04,0.23,0.32,17.75
MOL000219,BOX,121.12,0.76,0,2,31.55,0.54,0.84,0.02,0.11,12.07
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,270.30,2.82,1,4,55.23,0.87,0.26,0.20,0.34,17.02
MOL000024,alpha-humulene,204.39,5.04,0,0,22.98,1.88,2.08,0.06,0.00,
MOL002560,chrysin,254.25,2.60,2,4,22.61,0.70,0.01,0.18,0.42,
MOL002573,β-patchoulene,204.39,4.32,0,0,50.69,1.79,2.16,0.11,0.22,14.26
MOL002714,baicalein,270.25,2.33,3,5,33.52,0.63,-0.05,0.21,0.36,16.25
MOL002737,scutellarein,286.25,2.07,4,6,18.97,0.31,-0.54,0.24,0.35,
MOL002908,"5,8,2'-Trihydroxy-7-methoxyflavone",300.28,2.32,3,6,37.01,0.76,-0.07,0.27,0.28,16.17
MOL002909,"5,7,2,5-tetrahydroxy-8,6-dimethoxyflavone",376.34,2.02,4,9,33.82,0.35,-0.59,0.45,0.19,15.94
MOL002910,Carthamidin,288.27,2.03,4,6,41.15,0.16,-0.42,0.24,0.36,15.81
MOL002911,"2,6,2',4'-tetrahydroxy-6'-methoxychaleone",302.30,2.62,4,6,69.04,-0.07,-0.32,0.22,0.34,21.89
MOL002912,Dihydrobaicalin,448.41,0.60,6,11,20.85,-0.84,-1.42,0.75,0.34,
MOL002913,Dihydrobaicalin_qt,272.27,2.30,3,5,40.04,0.56,0.18,0.21,0.36,16.13
MOL002914,Eriodyctiol (flavanone),288.27,2.03,4,6,41.35,0.05,-0.66,0.24,0.39,15.88
MOL002915,Salvigenin,328.34,2.82,1,6,49.07,0.86,-0.03,0.33,0.21,15.87
MOL002916,"2-(2,6-dihydroxyphenyl)-3,5,7-trihydroxy-chromone",302.25,1.50,5,7,16.44,0.07,-0.42,0.27,0.43,
MOL002917,"5,2',6'-Trihydroxy-7,8-dimethoxyflavone",330.31,2.30,3,7,45.05,0.48,-0.11,0.33,0.25,16.37
MOL002918,Ganhuangenin,346.31,2.03,4,8,1.34,0.28,-0.57,0.37,0.25,
MOL002919,Viscidulin III,346.31,1.74,4,8,14.36,0.27,-0.27,0.37,0.27,
MOL002921,"(2S,3R,4R,5R,6S)-2-[(2R,3R,4S,5R,6R)-3,5-dihydroxy-2-[2-(3-hydroxy-4-methoxy-phenyl)ethoxy]-6-methylol-tetrahydropyran-4-yl]oxy-6-methyl-tetrahydropyran-3,4,5-triol",476.53,-1.34,7,12,12.69,-1.62,-2.27,0.67,0.26,
MOL002922,5-(2-hydroxyethyl)-2-methoxyphenol,168.21,1.26,2,3,31.95,0.60,0.21,0.04,0.26,4.07
MOL002923,darendoside B,476.53,-1.46,7,12,10.75,-1.59,-2.00,0.59,0.24,
MOL002924,darendoside B_qt,330.37,-0.60,5,8,10.05,-0.74,-1.11,0.22,0.23,
MOL002925,"5,7,2',6'-Tetrahydroxyflavone",286.25,2.07,4,6,37.01,0.18,-0.56,0.24,0.38,18.00
MOL002926,dihydrooroxylin A,286.30,2.55,2,5,38.72,0.71,0.03,0.23,0.29,17.58
MOL002927,Skullcapflavone II,374.37,2.54,2,8,69.51,0.68,-0.07,0.44,0.20,16.14
MOL002928,oroxylin a,284.28,2.59,2,5,41.37,0.76,0.13,0.23,0.29,17.15
MOL002929,salidroside,300.34,-0.47,5,7,7.01,-0.82,-1.41,0.20,0.30,
MOL002930,Tyrosol,138.18,1.28,2,2,33.81,0.65,0.25,0.02,0.36,-2.55
MOL002931,scutellarin,462.39,0.37,7,12,2.64,-1.08,-2.13,0.79,0.36,
MOL002932,Panicolin,314.31,2.57,2,6,76.26,0.84,0.31,0.29,0.24,16.78
MOL002933,"5,7,4'-Trihydroxy-8-methoxyflavone",300.28,2.32,3,6,36.56,0.46,-0.40,0.27,0.31,16.93
MOL002934,NEOBAICALEIN,374.37,2.54,2,8,104.34,0.74,-0.19,0.44,0.18,16.50
MOL002935,Baicalin,460.42,0.84,6,11,29.53,-1.10,-1.97,0.77,0.37,
MOL002937,DIHYDROOROXYLIN,286.30,2.55,2,5,66.06,0.67,0.13,0.23,0.31,17.17
MOL000357,Sitogluside,576.95,6.34,4,6,20.63,-0.14,-0.93,0.62,0.23,
MOL000358,beta-sitosterol,414.79,8.08,1,1,36.91,1.32,0.99,0.75,0.23,5.36
MOL000359,sitosterol,414.79,8.08,1,1,36.91,1.32,0.87,0.75,0.22,5.37
MOL000396,(+)-Syringaresinol,418.48,2.10,2,8,3.29,0.47,-0.34,0.72,0.00,
MOL000458,campesterol,400.76,7.97,1,1,5.57,1.60,1.41,0.72,0.22,
MOL000525,Norwogonin,270.25,2.33,3,5,39.40,0.60,-0.17,0.21,0.39,16.93
MOL000552,"5,2'-Dihydroxy-6,7,8-trimethoxyflavone",344.34,2.55,2,7,31.71,0.93,-.00,0.35,0.22,16.47
MOL000612,(-)-alpha-cedrene,204.39,4.12,0,0,55.56,1.81,2.16,0.10,0.24,4.82
MOL000007,Cosmetin,432.41,0.43,6,10,9.68,-1.08,-2.26,0.74,0.32,
MOL000008,apigenin,270.25,2.33,3,5,23.06,0.43,-0.61,0.21,0.41,
MOL000035,beta-Selinene,204.39,4.81,0,0,24.39,1.83,2.12,0.08,0.00,
MOL000073,ent-Epicatechin,290.29,1.92,5,6,48.96,0.02,-0.64,0.24,0.34,0.63
MOL000654,Methyl montanate,438.87,12.09,0,2,13.20,1.51,0.99,0.48,0.14,
MOL000669,(S)-camphor,152.26,1.94,0,1,21.68,1.28,1.74,0.05,0.28,
MOL000717,d-isomenthone,154.28,2.60,0,1,61.20,1.35,1.74,0.03,0.23,10.86
MOL000771,p-coumaric acid,164.17,1.64,2,3,43.29,0.46,0.13,0.04,0.45,4.43
MOL000789,jatrorrizine,338.41,3.40,1,4,19.65,1.28,0.36,0.59,0.00,
MOL000870,HEXATRIACONTANE,507.10,16.80,0,0,7.95,1.99,1.61,0.41,0.11,
MOL000879,methyl palmitate,270.51,6.62,0,2,18.09,1.37,1.18,0.12,0.14,
MOL000885,Dodekan,170.38,5.85,0,0,17.74,1.79,1.96,0.02,0.16,
MOL001132,longipinene,204.39,4.12,0,0,17.01,1.84,2.10,0.12,0.23,
MOL001458,coptisine,320.34,3.25,0,4,30.67,1.21,0.32,0.86,0.26,9.33
MOL001490,"bis[(2S)-2-ethylhexyl] benzene-1,2-dicarboxylate",390.62,7.57,0,4,43.59,0.98,0.68,0.35,0.28,3.02
MOL001506,Supraene,410.80,11.33,0,0,33.55,2.08,1.73,0.42,0.27,2.72
MOL001818,Methyl palmitelaidate,268.49,6.17,0,2,34.61,1.40,1.22,0.12,0.17,5.58
MOL001889,Methyl linolelaidate,294.53,6.64,0,2,41.93,1.46,1.11,0.17,0.20,5.78
MOL002027,Methyl behenate,354.69,9.36,0,2,14.96,1.45,1.20,0.29,0.16,
MOL002137,OCT,114.26,4.02,0,0,29.72,1.78,2.02,0.01,0.19,
MOL002202,tetramethylpyrazine,136.22,0.66,0,2,20.01,1.19,1.05,0.03,0.31,
MOL002819,catalpol,362.37,-3.77,6,10,5.07,-1.72,-2.33,0.44,0.22,
MOL002879,Diop,390.62,7.44,0,4,43.59,0.79,0.26,0.39,0.28,3.60
MOL002897,epiberberine,336.39,3.45,0,4,43.09,1.17,0.40,0.78,0.19,6.10
MOL003055,heptadecyloxirane,282.57,7.61,0,1,12.44,1.67,1.70,0.15,0.15,
MOL003393,"(1S,4S)-7-isopropylidene-1,4-dimethyl-2,3,4,5,6,8-hexahydro-1H-azulene",204.39,5.13,0,0,24.38,1.86,2.07,0.07,0.23,
MOL003475,9-Cedranone,220.39,3.02,0,1,67.60,1.26,1.47,0.12,0.27,4.99
MOL003535,"1,1,6-trimethyl-2H-naphthalene",172.29,3.84,0,0,24.94,1.88,1.99,0.06,0.34,
MOL003568,Patchoulene,204.39,4.32,0,0,49.06,1.82,2.17,0.11,0.00,14.10
MOL003920,Methyl icosanoate,326.63,8.44,0,2,15.79,1.43,1.12,0.22,0.15,
MOL004464,MEHQ,124.15,1.55,1,2,43.98,1.27,1.33,0.02,0.32,11.69
MOL005224,TETRATETRACONTANE,619.34,20.44,0,0,7.82,2.04,1.22,0.25,0.16,
MOL005272,13-Tetradecenyl acetate,254.46,5.52,0,2,36.76,1.36,1.06,0.10,0.20,5.71
MOL005368,Methyl tricosanoate,368.72,9.81,0,2,14.61,1.43,1.08,0.33,0.16,
MOL005402,Methyl margarate,284.54,7.08,0,2,17.41,1.37,1.25,0.14,0.17,
MOL005577,undecanal,170.33,4.13,0,1,22.90,1.38,1.41,0.03,0.20,
MOL005841,TBP,266.36,3.64,0,4,27.76,1.18,0.90,0.06,0.00,
MOL006219,Clorius,136.16,1.69,0,2,45.99,1.25,1.41,0.02,0.40,-2.16
MOL006312,Azulol,198.33,4.91,0,0,15.15,1.94,1.83,0.07,0.38,
MOL006370,5-o-caffeoylquinic acid,354.34,-0.42,6,9,19.61,-1.39,-2.08,0.33,0.36,
MOL007197,DFA,169.24,3.38,1,1,31.13,1.85,1.87,0.05,0.49,7.72
MOL007792,Isomartynoside,652.71,0.89,7,15,13.98,-1.60,-2.44,0.56,0.29,
MOL008151,METHYL NONADECANOATE,312.60,7.99,0,2,16.27,1.40,1.18,0.19,0.15,
MOL008206,Moslosooflavone,298.31,2.84,1,5,44.09,1.01,0.54,0.25,0.26,17.02
MOL008595,methyl henicosanoate,340.66,8.90,0,2,15.36,1.42,1.17,0.26,0.15,
MOL008615,Methyl 9-oxononanoate,186.28,2.17,0,3,24.02,0.62,0.17,0.04,0.20,
MOL009520,"3,8-dimethylundecane",184.41,5.89,0,0,4.72,1.81,2.02,0.03,0.20,
MOL009730,methyl icos-11-enoate,324.61,8.00,0,2,29.49,1.43,1.19,0.23,0.18,
MOL009734,Methyl lignocerate,382.75,10.27,0,2,14.27,1.47,0.94,0.37,0.13,
MOL010206,Methyl isoheptadecanoate,284.54,6.87,0,2,21.72,1.39,1.28,0.14,0.16,
MOL010415,"11,13-Eicosadienoic acid, methyl ester",322.59,7.55,0,2,39.28,1.46,1.24,0.23,0.21,5.44
MOL010563,Methyl (Z)-cinnamate,162.20,2.15,0,2,37.20,1.31,1.56,0.04,0.35,7.75
MOL011081,Linolenic acid methyl ester,292.51,6.20,0,2,46.15,1.51,1.18,0.17,0.23,5.90
MOL011322,Diisobutyl succinate,230.34,2.48,0,4,39.54,0.69,0.29,0.06,0.25,4.81
MOL012240,"2',3',5,7-tetrahydroxyflavone",286.25,2.07,4,6,25.75,0.36,-0.60,0.24,0.38,
MOL012245,"5,7,4'-trihydroxy-6-methoxyflavanone",302.30,2.28,3,6,36.63,0.43,-0.32,0.27,0.28,16.12
MOL012246,"5,7,4'-trihydroxy-8-methoxyflavanone",302.30,2.28,3,6,74.24,0.37,-0.43,0.26,0.31,16.85
MOL012266,rivularin,344.34,2.55,2,7,37.94,0.65,-0.13,0.37,0.21,16.25
MOL012267,Scutevulin,300.28,2.32,3,6,20.67,0.64,-0.13,0.27,0.29,
MOL012564,"3,7-dimethylnonane",156.35,4.98,0,0,15.31,1.80,2.12,0.02,0.21,
MOL013062,BZQ,182.23,3.23,0,1,58.62,1.44,1.52,0.06,0.49,21.31
MOL013161,METHYL HEXACOSANOATE,410.81,11.18,0,2,13.68,1.49,1.11,0.43,0.15,
MOL000106,PYG,126.12,1.03,3,3,22.98,0.69,0.79,0.02,0.40,
MOL001218,Pisol,186.38,4.62,1,1,18.50,1.23,1.06,0.03,0.14,
MOL001246,(1R)-()-Nopinone,138.23,1.52,0,1,57.86,1.23,1.60,0.05,0.28,11.10
MOL001644,Dodecanal,184.36,4.59,0,1,21.52,1.40,1.42,0.03,0.19,
MOL001801,salicylic acid,138.13,1.17,2,3,32.13,0.63,0.63,0.03,0.43,12.00
MOL001888,"2,2-dimethylcyclohexanol",128.24,2.09,1,1,82.54,1.22,1.60,0.02,0.20,11.06
MOL001890,octadec-9-ene,252.54,8.14,0,0,19.50,1.87,1.84,0.09,0.19,
MOL001891,9-methylenefluorene,178.24,3.55,0,0,26.87,1.95,1.78,0.09,0.54,
MOL001892,Dipropyl phthalate,250.32,3.29,0,4,66.30,0.78,0.71,0.10,0.35,5.70
MOL001893,BU3,90.14,-0.14,2,2,34.87,0.19,-0.01,0.01,0.28,11.25
MOL001894,Bicetyl,450.98,14.97,0,0,8.03,1.96,1.71,0.46,0.14,
MOL001895,Dibutylphenol,206.36,4.36,1,1,38.90,1.73,1.87,0.06,0.30,10.76
MOL001896,"bicyclo[3.1.1]hept-2-ene-2-methanol, 6,6-dimethyl-",152.26,1.78,1,1,49.79,1.23,1.34,0.06,0.21,11.54
MOL001897,()-trans-Myrtanol,154.28,1.97,1,1,49.66,1.17,1.37,0.06,0.21,11.13
MOL001898,Acetyl oxide,102.10,-0.19,0,3,45.13,0.65,0.77,0.01,0.23,11.84
MOL001899,ZINC02169908,268.54,6.20,0,1,23.30,1.42,1.24,0.10,0.23,
MOL001900,Pulchinenoside A_qt,472.78,5.43,3,4,16.91,0.12,-0.58,0.77,0.25,
MOL001901,24-Methylenecycloartanol,440.83,7.86,1,1,10.40,1.42,1.13,0.79,0.25,
MOL001902,"3β,23-dihydroxy-oleana-11,13(18)-dien-28-oic acid",470.76,5.08,3,4,21.53,0.10,-0.62,0.75,0.24,
MOL001903,3β-hydroxy-11-oxo-olean-12-en-28-oic acid,470.76,5.49,2,4,13.49,0.21,-0.20,0.74,0.27,
MOL001904,2 - methyl - 3 - (2 - propenyl) - phenol,148.22,3.06,1,1,52.06,1.64,1.81,0.03,0.39,4.70
MOL001905,"3β-hydroxy-oleana-11,13(18)-dien-28-oic acid?",454.76,6.17,2,3,17.11,0.55,-0.13,0.76,0.26,
MOL001906,Methylgallate,184.16,0.88,3,5,30.91,0.26,0.06,0.05,0.32,5.67
MOL001907,Progallin A,198.19,1.23,3,5,25.61,0.33,0.11,0.06,0.34,
MOL001908,"(Z)-(1S,5R)-beta-pinen-10-yl-beta-vicianoside",446.55,-1.28,6,10,5.74,-1.56,-1.89,0.67,0.23,
MOL001909,"(Z)-(1S,5R)-beta-pinen-10-yl-beta-vicianoside_qt",152.26,2.05,1,1,50.32,1.52,1.93,0.06,0.22,11.47
MOL001910,"11alpha,12alpha-epoxy-3beta-23-dihydroxy-30-norolean-20-en-28,12beta-olide",470.71,3.91,2,5,64.77,0.09,-0.59,0.38,0.27,2.62
MOL001911,albiflorin R1,480.51,-1.91,5,11,21.29,-1.53,-1.98,0.82,0.35,
MOL001912,albiflorin R1_qt,318.35,-0.17,2,6,26.18,-0.46,-0.85,0.34,0.40,
MOL001913,propyl (2R)-2-hydroxypropanoate,132.18,0.81,1,3,25.50,0.44,0.35,0.01,0.29,
MOL001914,gallotannin,"1,701.27",8.18,25,46,7.36,-5.47,-7.15,0.03,0.49,
MOL001915,paeonoside,610.57,-2.22,10,16,3.47,-2.71,-3.73,0.71,0.29,
MOL000561,Astragalin,448.41,-0.32,7,11,14.03,-1.34,-1.97,0.74,0.34,
MOL001917,"(3S,3aR,5S,6S,7aR)-5,6-dihydroxy-3,6-dimethyl-3,3a,4,5,7,7a-hexahydrobenzofuran-2-one",200.26,-0.08,2,4,96.64,-0.16,-0.69,0.07,0.29,13.60
MOL001918,paeoniflorgenone,318.35,0.79,1,6,87.59,-0.09,-0.56,0.37,0.37,7.45
MOL001919,"(3S,5R,8R,9R,10S,14S)-3,17-dihydroxy-4,4,8,10,14-pentamethyl-2,3,5,6,7,9-hexahydro-1H-cyclopenta[a]phenanthrene-15,16-dione",358.52,2.69,2,4,43.56,-.00,-0.41,0.53,0.35,4.34
MOL009092,Pentagalloylglucose,940.72,3.69,15,26,3.01,-3.08,-4.17,0.21,0.45,
MOL001921,Lactiflorin,462.49,-0.57,3,10,49.12,-1.13,-1.76,0.80,0.34,7.26
MOL001922,2-Hexyl-1-decanol,242.50,6.31,1,1,17.08,1.29,1.03,0.07,0.17,
MOL001923,"[(3S,3aR,6S,7aR)-6-hydroxy-6-methyl-2,5-dioxo-3a,4,7,7a-tetrahydro-3H-benzofuran-3-yl]methyl benzoate",318.35,0.84,1,6,17.84,-0.17,-0.66,0.30,0.41,
MOL001924,paeoniflorin,480.51,-1.28,5,11,53.87,-1.47,-1.86,0.79,0.34,13.88
MOL001925,paeoniflorin_qt,318.35,0.46,2,6,68.18,-0.34,-0.73,0.40,0.39,8.81
MOL001926,"1,2,3,6-tetra-O-galloylglucose",788.62,-0.25,17,22,3.01,-2.97,-4.03,0.34,0.39,
MOL001927,albiflorin,480.51,-1.33,5,11,12.09,-1.54,-2.19,0.77,0.36,
MOL001928,albiflorin_qt,318.35,0.42,2,6,66.64,-0.49,-0.88,0.33,0.41,6.54
MOL001929,alexandrin,576.95,6.34,4,6,20.63,-0.29,-0.98,0.62,0.24,
MOL001930,benzoyl paeoniflorin,584.62,0.81,4,12,31.27,-0.69,-1.24,0.75,0.29,-1.85
MOL001931,4-Chlorobutyric acid,122.56,0.87,1,2,85.82,0.74,0.85,0.01,0.44,11.60
MOL001932,galloylpaeoniflorin,632.62,-0.04,7,15,3.03,-1.77,-2.78,0.42,0.36,
MOL001933,oxypaeoniflorin,496.51,-1.55,6,12,21.88,-1.88,-2.41,0.78,0.34,
MOL001934,"(3R,3aR,6S,7aR)-6-hydroxy-3,6-dimethyl-3a,4,7,7a-tetrahydro-3H-benzofuran-2,5-dione",198.24,-0.12,1,4,104.94,-0.08,-0.32,0.08,0.35,13.69
MOL001935,"(3aR,6S,7aR)-6-hydroxy-6-methyl-3-methylene-3a,4,7,7a-tetrahydrobenzofuran-2,5-dione",196.22,-0.10,1,4,97.79,-0.01,-0.13,0.08,0.39,13.98
MOL001936,cis-5-Octen-1-ol,128.24,2.35,1,1,31.84,1.16,1.15,0.01,0.23,5.40
MOL001937,24253-30-3,98.16,1.16,0,1,74.20,1.33,1.57,0.01,0.32,11.36
MOL000211,Mairin,456.78,6.52,2,3,55.38,0.73,0.22,0.78,0.26,8.87
MOL000492,(+)-catechin,290.29,1.92,5,6,54.83,-0.03,-0.73,0.24,0.00,0.61
