TCMBank ID,Ingredient name,Alias,Molecular formula,Molecular weight
TCMBANKIN037001,alpha-Guaiene,"(1S,4S,7R)-1,4-dimethyl-7-prop-1-en-2-yl-1,2,3,4,5,6,7,8-octahydroazulene; alpha-guaiene; α-guaiene; (1S,4S,7R)-7-isopropenyl-1,4-dimethyl-1,2,3,4,5,6,7,8-octahydroazulene",C15H24,204.35 g/mol
TCMBANKIN037067,β-Cedrene,"beta-cedrene; DYLPEFGBWGEFBB-OSFYFWSMSA-N; CTK8F1427; A-Cedrene; (+)-; (+)-?-CEDRENE; 6QL7ERD5Q1; 1H-3a,7-Methanoazulene, octahydro-3,8,8-trimethyl-6-methylene-, (3R,3aS,7S,8aS)-; AKOS015896901; 546-28-1; KB-62482; (+)-beta-Funebrene; (+)-beta-Cedrene, >=95.0% (sum of enantiomers, GC); 1H-3a,7-Methanoazulene, octahydro-3,8,8-trimethyl-6-methylene-, [3R-(3.alpha.,3a.beta.,7.beta.,8a.alpha.)]-; UNII-6QL7ERD5Q1; (3R-(3alpha,3Abeta,7beta,8aalpha))-octahydro-3,8,8-trimethyl-6-methylene-1H-3a,7-methanoazulene; 1H-3a,7-Methanoazulene,octahydro-3,8,8-trimethyl-6-methylene-,(3R,3aS,7S,8aS)-; (+)-beta-Cedrene; ZINC59778864; (+)-.beta.-Cedrene; (3R,3aS,7S,8aS)-3,8,8-Trimethyl-6-methyleneoctahydro-1H-3a,7-methanoazulene; .beta.-Cedrene; EINECS 208-898-8; (1S,2R,5S)-8-Methylene-2,6,6-trimethyltricyclo[5.3.1.01.5]undecane; 1H-3a,7-Methanoazulene, octahydro-3,8,8-trimethyl-6-methylene-, (3R-(3alpha,3abeta,7beta,8aalpha))-; beta-Cedrene",,204.35
TCMBANKIN037277,Oleanolic acid,"Olean-12-en-28-oic acid, 3.beta.-hydroxy-; s2334; Caryophyllin; AIDS014809; Giganteumgenin C; SMR000445561; oleanolicacid; (3-beta)-3-Hydroxyolean-12-en-28-oic acid; AIDS-014809; Olean-12-en-28-oic acid, 3-hydroxy-, (3-beta)-; EINECS 208-081-6; NSC 114945; OLEANOLIC ACID; Olean-12-en-28-oic acid, 3-hydroxy-, (3beta)-; CCRIS 6493; AS-11663; SCHEMBL1699365; Virgaureagenin B; CHEBI:37659; MLS000697656; (4aS,5S,6aS,6bR,8R,8aR,10S,12aR,12bR,14bS)-10-Hydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-octadecahydro-2H-picene-4a-carboxylic acid; AKOS022168208; O5504_SIGMA; MolPort-016-633-333; Oleanolic Acid; Olean-12-en-28-oic acid, 3-beta-hydroxy- (8CI); Oleanic acid; 3beta-Hydroxyolean-12-en-28-oic acid; 3-beta-Hydroxyolean-12-en-28-oic acid; ST057162; Olean-12-en-28-oic acid, 3beta-hydroxy- (8CI); NSC114945; Oleanolic Acid (Caryophyllin); Astrantiagenin C; Olean-12-en-28-oic acid, 3-hydroxy-, (3.beta.)-; 508-02-1; (4R,6aS,6bR,8aR,10S,12aR,12bR,14bR)-10-hydroxy-2,2,6a,6b,9,9,12a-heptamethyl-3,4,4a,5,6,7,8,8a,10,11,12,12b,13,14b-tetradecahydro-1H-picene-4-carboxylic acid; (4aS,6aR,6aS,6bR,8aR,10S,12aR,14bS)-10-hydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid; oleanolic acid",C30H48O3,457
TCMBANKIN037308,β-Eudesmol,"2-Naphthaleneethanol, decahydro-alpha,alpha,4a-trimethyl-8-methylene-; SCHEMBL12633040; beta-eudesmol; 2-[(2R,4aR,8aS)-4a-methyl-8-methylene-decalin-2-yl]propan-2-ol; 17790_FLUKA; 2-Naphthalenemethanol, decahydro-8-methylene-alpha,alpha,4a-trimethyl-, (2R-(2-alpha,4a-alpha,8a-beta)-; 2-[(2R,4aR,8aS)-4a-methyl-8-methylidene-1,2,3,4,5,6,7,8a-octahydronaphthalen-2-yl]propan-2-ol; 3beta-(1-Hydroxy-1-methylethyl)-5-methylene-8abeta-methyldecahydronaphthalene; Beta- Eudesmol; (2R,4aR,8aS)-Decahydro-8-methylene-alpha,alpha,4a-trimethyl-2-naphthylmethanol; β- eudesmol; Eudesm-4(14)-en-11-ol (8CI); beta-Selinenol; rel-2-[(2R,4aR,8aS)-4a-methyl-8-methylenedecahydronaphthalen-2-yl]propan-2-ol; 2-naphthalenemethanol, decahydro-alpha,alpha,4a-trimethyl-8-methylene-, (2R,4aR,8aS)-; C09664; InChI=1/C15H26O/c1-11-6-5-8-15(4)9-7-12(10-13(11)15)14(2,3)16/h12-13,16H,1,5-10H2,2-4H3/t12-,13+,15-/m1/s; beta-eudesmol ; 2-[(2R,4aR,8aS)-4a-methyl-8-methylene-2-decalinyl]propan-2-ol; AC1NSVC6; 2-[(2R,4aR)-4a-methyl-8-methylidene-1,2,3,4,5,6,7,8a-octahydronaphthalen-2-yl]propan-2-ol; beta-Eudesmol; beta- eudesmol; 473-15-4; 4(15)-eudesmen-11-ol",,222.37
TCMBANKIN037541,alpha-Cubebene,α-cubebene; α- cubebene; 17699-14-8; alpha-cubebene; C09647,C15H24,204.351
TCMBANKIN037884,Pulsatillic acid,pulsatillicacid; pulsatillic acid; SCHEMBL14554424,C30H46O4,470.7 g/mol
TCMBANKIN038239,Longispinogenin 3-O-beta-D-glucuronopyranoside,longispinogenin 3-o-β-d-glucuronopyranoside; longispinogenin 3-o-beta-d-glucuronopyranoside,,634.94
TCMBANKIN038259,Octanoic acid,"octanoic acid ; O-octanoyl-L-carnitine; (3-carboxylato-2-octanoyloxy-propyl)-trimethyl-ammonium; octanoylcarnitine; (-)-Octanoylcarnitine; L-Carnitine octanoyl ester; UNII-S1HB7P0O16 component CXTATJFJDMJMIY-CYBMUJFWSA-N; L-Octanoylcarnitine; L-O-Octanoylcarnitine; O-octanoyl-(R)-carnitine; (3R)-3-octanoyloxy-4-(trimethylammonio)butanoate; Octanoic acid ester with L-(3-carboxy-2-hydroxypropyl)trimethylammonium hydroxide inner salt; C02838; O-octanoyl-R-carnitine; Octanoyl-L-carnitine, >=97.0% (TLC); CHEBI:18102; LMFA07070002; SCHEMBL2915508",C8H16O2,144.211
TCMBANKIN038671,γ-Cadinene,γ- Cadinene; γ-Cadinene; γ- cadinene,,204.35
TCMBANKIN038707,alpha-amyrin,"α-Amyrin; C08615; Urs-12-en-3-ol; Urs-12-en-3-ol, (3beta)- (9CI); alpha-Amyrine; Urs-12-en-3.beta.-ol; ST5411384; (3S,4aR,6aR,6bS,8aR,11R,12S,12aR,14aR,14bR)-4,4,6a,6b,8a,11,12,14b-octamethyl-2,3,4a,5,6,7,8,9,10,11,12,12a,14,14a-tetradecahydro-1H-picen-3-ol; (3S,4aR,6aR,6bS,8aR,11R,12S,12aR,14aR,14bR)-4,4,6a,6b,8a,11,12,14b-Octamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,14,14a,14b-eicosahydro-picen-3-ol; (3.beta.)-Urs-12-en-3-ol; 3-epi-α-amyrin; A834570; Urs-12-en-3-ol #; FSLPMRQHCOLESF-UHFFFAOYSA-N; EINECS 211-352-1; MCULE-7089035597; 12-ursen-3beta-ol; .alpha.-Amyrine; α-amyrin; NSC-114787; alpha-Amyrin; AC1L5E7U; Urs-12-en-3beta-ol; alpha-Amyrenol; Viminalol; 638-95-9; AIDS-070313; Epi-alpha-amyrin; 53017_FLUKA; AIDS070313; AC1Q7B25; .alpha.-Amyrin; 4,4,6a,6b,8a,11,12,14b-octamethyl-2,3,4a,5,6,7,8,9,10,11,12,12a,14,14a-tetradecahydro-1H-picen-3-ol; NSC 114787; NSC114787; alpha-amyrin ; Urs-12-en-3-ol, (3.beta.)-; .alpha.-Amyrenol; LMPR01060011; α- amyrin; SMP2_000308",C30H50O,426.72
TCMBANKIN039554,hexanoic acid,"(C6-C12) Alkylcarboxylic acid; n-Hexoic acid; BRN 0773837; Hexanoyl DL-carnitine; AC1O52RE; hexanoicacid; 142-62-1; Hexanoic acid (natural); n-Hexanoic acid; CCRIS 1347; Hexacid 698; 153745_ALDRICH; Hexanoic acid; 13476-79-4; 8040-17-3; 51109-46-7; AI3-07701; WLN: QV5; VVPRQWTYSNDTEA-UHFFFAOYSA-N; 19455-00-6; (C5-C9) Monobasic acids; Pentylformic acid; Hexanoyl-d,l-carnitine; Capronic acid; Butylacetic acid; Kyselina kapronova [Czech]; 4-02-00-00917 (Beilstein Handbook Reference); C01585; 1-Pentanecarboxylic acid; UN2829; 3-hexanoyloxy-4-(trimethylazaniumyl)butanoate; Fatty acids, C6-12; (C6-C12)Alkylcarboxylic acid; W255912_ALDRICH; NSC8266; CAPROIC ACID; CH3-[CH2]4-COOH; LMFA01010006; HEXANOIC ACID (CAPROIC ACID); n-Caproic acid; EINECS 267-013-3; CHEBI:30776; Hexanoylcarnitine; 68603-84-9; 70248-25-8; 21529_FLUKA; HSDB 6813; 3-(hexanoyloxy)-4-(trimethylazaniumyl)butanoate; Carboxylic acids, C5-9; NSC 8266; NCIOpen2_005355; LMFA07070070; 1-Propanaminium,3-carboxy-N,N,N-trimethyl-2-[(1-oxohexyl)oxy]-, chloride (1:1); EINECS 205-550-7; SCHEMBL235082; 1-Hexanoic acid; Pentanecarboxylic acid; Acid C-6; Carboxylic acids, C6-18 and C6-18-unsatd. mono- and C8-15-di-; H12137_ALDRICH; W255904_ALDRICH; 16571-42-9; Hexylic acid; AIDS212980; Caproic acid [UN2829] [Corrosive]; FEMA No. 2559; 67762-36-1; n-Hexylic acid; Hexoic acid; Pentiformic acid; EINECS 274-509-3; 6418-78-6; AIDS-212980; 53896-26-7; CTK4C6070; EINECS 271-676-4; Hexanoic acid ester with (3-carboxy-2-hydroxypropyl)trimethylammonium hydroxide inner salt; CHEBI:70749; InChI=1/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8; O-hexanoylcarnitine; 1-Propanaminium, 3-carboxy-N,N,N-trimethyl-2-[(1-oxohexyl)oxy]-, inner salt; 3-(hexanoyloxy)-4-(trimethylammonio)butanoate",C6H12O2,116.158
TCMBANKIN040391,Germacrene D,"C16142; (1E,6E,8S)-8-isopropyl-1-methyl-5-methylenecyclodeca-1,6-diene; (1E,6E,8S)-8-isopropyl-1-methyl-5-methylene-cyclodeca-1,6-diene; germacrene-d; (-)-Germacrene D; (1E,6E,8S)-1-methyl-5-methylidene-8-propan-2-yl-cyclodeca-1,6-diene; germacrene d; Germacrene- D; GermacreneD; (1E,6E,8S)-1-methyl-5-methylidene-8-propan-2-ylcyclodeca-1,6-diene; nchembio.2007.29-comp4",C15H24,204.351
TCMBANKIN040544,Nootkatone,"(4R,4aS,6R)-4,4a,5,6,7,8-hexahydro-4,4a-dimethyl-6-(1-methylethenyl)naphthalen-2(3H)-one",,216.362
TCMBANKIN041272,stearic acid,"4-02-00-01206 (Beilstein Handbook Reference); AIDS-049230; Emersol 871; 8039-52-9; 126539-56-8; stearic acid, ion(1-); D00119; octadecoic acid; Hydrofol Acid 150 (VAN); 134503-33-6; Fatty acids C16-18; 68937-76-8; Kam 2000; VLZ 200; Lunac S 98; Glycon S-80; Hy-phi 1205; Lunac YA; Pristerene 9429; Pristerene 4900; Octadecanoic acid (9CI); Hystrene 9718NF; Edenor FHTI; Cetylacetic acid; NAA 173; NSC 25956; Lunac S 90; S 30C S 30C (fatty acid); Neo-Fat 18-61; Dar-chem 14; NSC25956; Edenor HT-JG 60; Octadecanoate; 57485-56-0; Oktadekansaeure; S 300 (fatty acid); Unister NAA 180; Industrene 5016; Prisorine 3508; Hydrofol Acid 150; Hystrene 4516; G 270; Stearic Acid Cherry; Century 1230; 822-16-2 (SODIUM SALT); NCGC00091596-02; Glycon S-90; 85404-83-7; NCGC00091596-01; Stearic acid (JP15/NF); Hystrene 5016; Hy-phi 1303; Glycon S-70; C01530; Octadecansaeure; Neo-Fat 18-55; WO 2 (fatty acid); Pristerene 9559; SA 200; Century 1240; Stearic acid, pure; Sunfat 18S; WO 2; CHEBI:28842; Industrene 5016K; LS-2392; Kam 3000; BRN 0608585; Edenor ST 20; AIDS049230; Lunac 30; EINECS 273-087-8; Emersol 150; 175366_SIAL; 8039-54-1; Fatty acids, C16-20; stearicacid; Stearic acid ion(1-)salt; Stearic acid (8CI); Stearinsaeure; Emersol 153NF; Hydrofol acid 1855; 57-11-4; Lunac S 30; Hystrene T 70; Prisorine 3501; Haimaric MKH(R); Stearex Beads; Groco 55; Hystrene S-97; Neo-Fat 18-54; W303518_ALDRICH; Hydrofol acid 1655; Nonsoul SN 1 (*Sodium salt*); EINECS 200-313-4; 39390-61-9; Emersol 120; EPA Pesticide Chemical Code 079082; Lunac S 20; Octadecanoic acid, ion(1-); 8013-28-3; AI3-00909; Kortacid 1895; FEMA No. 3035; Hystrene S 97; 82497-27-6; Tegostearic 254; SNA-2000 (*Sodium salt*); 1-Heptadecanecarboxylic acid; AC1MHWEJ; STL280244; 27405_RIEDEL; Steric acid; Industrene 9018; Glycon dp; F 3 (lubricant); Hy-phi 1401; Lunac S 50; Emersol 132; Stearic acid, ion(1-) (8CI); CH3-[CH2]16-COO(-); acide octadecanoique; Groco 55l; 73297_FLUKA; Serfax MT 90; Stearic acid [USAN:JAN]; 8039-51-8; acide stearique; Kam 1000; Acidum stearinicul; InChI=1/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20; 8039-53-0; 17FA; Stearophanic acid; 8037-83-0; Hystrene 7018; FA 1655; Prisorine 3502; Nonsoul SK 1; Hydrofol Acid 1895; Lunac S 40; Stearic acid 50; 8023-06-1; 85679_FLUKA; HSDB 2000; n-Octadecanoate; 400JB9103-88; Glycon tp; Unimac 5680; Loxiol G 20; Stearate; 875D; Octadecanoic acid; Neo-Fat 18-53; octadecanoate (n-C18:0); Radiacid 0427; Emery 871; Vanicol; Vis-Plus; PD 185; EINECS 250-178-0; AKOS022105769; 646-29-7; Edenor ST 1; S 300; Caswell No. 801D; Selosol 920; Tegostearic 272; Isostearic acid EX; A 1760; WLN: QV17; Stearic acid (TN); Pearl stearic; 609343-71-7; Palmitic acid - stearic acid mixture; Emersol 875; Industrene 8718; Hystrene 9718NFFG; NCGC00164255-02; ST023799; LMFA01010018; Groco 54; Edenor C18; Hystrene T-70; Hy-phi 1199; CTK8J8420; n-Octadecanoic acid; Groco 58; Pristerene 4963; Formula 300; AFCO-Chem B 65; CCRIS 2305; Industrene R; Century 1220; S4751_SIGMA; Neo-Fat 18; 58392-66-8; Barolub FTA; Hystrene 9718; CH3-[CH2]16-COOH; STE; 8037-40-9; 30399-84-9; Lunac S 90KC; Hydrofol 1895; Emery 875D; Century 1210; QIQXTHQIDYTFRH-UHFFFAOYSA-M; Neo-Fat 18-59; LS-1388; Groco 59; Humko Industrene R; Hystrene 80; Adeka Fatty Acid SA 910; Stearic acid; Prifac 2918; Emersol 6349; Edenor C 18/98; 3uex; LS-97707; CHEBI:25629; Neo-Fat 18-S; Stearic acid - palmitic acid mixture; Tegostearic 255; C-Lube 10",C18H36O2,284
TCMBANKIN041608,11alpha-Methoxysaikosaponin f,11α-methoxysaikosaponin f; 11alpha-methoxysaikosaponin f,C47H78O18,959.2 g/mol
TCMBANKIN042365,Saikosaponin V,saikosaponin v,C53H86O24,1107.2 g/mol
TCMBANKIN042839,Darutoside,stigmasterol-beta-D-glucoside; Stigmasterol-beta-D-glucoside_qt; stigmasterol 3-O-beta-D-glucoside,C26H44O8,485
TCMBANKIN045186,Saikosaponin E,,,765 g/mol
TCMBANKIN045225,Saikosaponin t,"AC1O3DXV; (2S,3R,4S,5S,6R)-2-[(2R,3S,4S,5R)-4-hydroxy-5-[[8-hydroxy-8a-(hydroxymethyl)-14-methoxy-4,4,6a,6b,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-2,5-bis(hydroxymethyl)oxolan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol; saikosaponin t",,813.15
TCMBANKIN048218,fraxetin,"ZINC00113309; NCGC00096046-01; AIDS224554; SCHEMBL43472; ST24045548; KBio3_002724; BSPBio_003224; SMR000112323; V1540; Coumarin, 7,8-dihydroxy-6-methoxy; AJ-11417; UNII-CD3GD44O3K; CD3GD44O3K; C09265; 7,8-Dihydroxy-6-methoxy-2H-chromen-2-one; Spectrum_001507; STOCK1N-06249; 7,8-dihydroxy-6-methoxy-2-chromenone; CTK8E5461; MCULE-2693568829; AC1NRV6E; InChI=1/C10H8O5/c1-14-6-4-5-2-3-7(11)15-10(5)9(13)8(6)12/h2-4,12-13H,1H; 7,8-Dihydroxy-6-methoxy-chromen-2-one; MFCD00006873; AKOS000277991; Spectrum4_001686; CHEBI:5169; 7,8-Dihydroxy-6-methoxy-2-benzopyrone; 574-84-5; N1765; KSC-11-207-12; 7,8-dihydroxy-6-methoxychromen-2-one; Fraxetin; 7,8-Dihydroxy-6-methoxycoumarin, 98%; CC-23048; SR-05000002449-1; NCGC00169075-01; BG01517128; 254916_ALDRICH; 7,8-Dihydroxy-6-methoxy-2H-chromen-2-one #; ZINC113309; I14-19210; SR-05000002449; ZB003792; ACon0_001071; AX8110148; Q-100662; EINECS 209-376-2; Spectrum3_001842; MLS002207123; AK114503; KBio2_007123; NCGC00096046-02; KBio2_004555; SpecPlus_000477; 7,8-dihydroxy-6-methoxy-chromen-2-one; ST024715; KBio2_001987; KBio1_001517; CCG-38759; NCGC00017270-03; Spectrum2_001639; 2H-1-Benzopyran-2-one, 7,8-dihydroxy-6-methoxy-; ACon1_000442; SC-65962; AN-46013; BG00604311; Spectrum5_000332; Oprea1_735469; KBioSS_001987; MolPort-001-683-945; KBioGR_001952; 574F845; 7,8-dihydroxy-6-methoxy-coumarin; NCGC00169075-02; KUC106681N; SPECTRUM1504069; SPBio_001737; DB-050316; TR-020064; AC1Q4F2E; DTXSID00205992; NCGC00017270-05; CHEMBL54909; BDBM50206215; C-30832; DivK1c_006573; AIDS-224554; Fraxetin, analytical standard; FT-0632418; 4CN-1003; NCGC00017270-02; BRD-K76587808-001-03-8; MEGxp0_000506; NCGC00017270-01; TNP00177; HAVWRBANWNTOJX-UHFFFAOYSA-N; 7,8-Dihydroxy-6-methoxycoumarin; NCGC00017270-04; Coumarin, 7,8-dihydroxy-6-methoxy-; KB-249406",C10H8O5,208.168
TCMBANKIN048392,alpha-eudesmol,"92480-60-9; 2-[(2R,4aR,8aR)-4a,8-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-2-yl]propan-2-ol; 75684-39-8; C09663; 473-16-5; α-eudesmol; 2-Naphthalenemethanol, 1,2,3,4,4a,5,6,8a-octahydro-alpha,alpha,4a,8-tetramethyl-, (2R,4aR,8aR)-; alpha-eudesmol",C15H26O,222.366
TCMBANKIN048561,Longispinogenin,"AIDS-113414; AIDS113414; (3S,4aR,6aR,6bS,8S,8aR,12aS,14aR,14bR)-8,8a-bis(hydroxymethyl)-4,4,6a,6b,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-ol; Olean-12-ene-3,16,28-triol, (3.beta.,16.beta.)-; CHEMBL1706157; Olean-12-ene-3, 16 28-triol, (3beta,16beta)-; HMS2269D21; MLS000563221; SMR000470873; (3S,4aR,6aR,6bS,8S,8aR,12aS,14aR,14bR)-4,4,6a,6b,11,11,14b-heptamethyl-8,8a-dimethylol-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-ol; Picen-3-ol, 8,8a-bis-hydroxymethyl-4,4,6a,6b,11,11,14b-heptamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,14,14a,14b-eicosahydro-, (3S,4aR,5R,6aR,6bS,8S,8aR,12aS,14aR,14bR); (3S,4aR,5R,6aR,6bS,8S,8aR,12aS,14aR,14bR)-8,8a-Bis-hydroxymethyl-4,4,6a,6b,11,11,14b-heptamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,14,14a,14b-eicosahydro-picen-3-ol; longispinogenin ; Olean-12-ene-3,16,28-triol, (3beta,16beta)-; 465-94-1; longispinogenin",C30H50O3,458.72
TCMBANKIN049796,saikosaponin s1,,,
TCMBANKIN050052,saikosaponin q1,,,
TCMBANKIN050118,saikochromoside a,,C17H20O10,384.3 g/mol
TCMBANKIN050166,β-Fenchene,beta-fenchene; beta-Fenchene,,136.26
TCMBANKIN052192,Saikosaponin C,I06-1046,C48H78O17,
TCMBANKIN053820,Tetradecane,"Alkenes, C10-16 .alpha.-; 1-Tetradecene, >=97.0% (GC); NSC 66434; 87140_FLUKA; CCRIS 3785; TRA0005849; Neodene 14; KS-000014IV; n-Tetradec-1-ene; AC1Q2W0I; EINECS 272-494-8; HFDVRLIODXPAHB-UHFFFAOYSA-N; 1-TETRADECENE; MFCD00008981; 68855-58-3; Tetradekan; DTXSID4027367; NSC72440; 90622-46-1; TR-002355; alpha-Tetradecene; CTK0H5456; CHEMBL1892257; Tetradecane; CHEBI:41253; NSC66434; Tetradecene-1; FW23481S7S; LS-163757; DSSTox_RID_78426; 6232AF; EINECS 214-306-9; AC1L23GB; 1-Tetradecene, analytical standard; Paraffinic hydrocarbons (C14-C30); AN-20595; Alkanes, C14-30; CHEBI:77505; 1-Tetradecene, technical grade, 92%; Tetradec-1-ene; 87139_FLUKA; BRN 1733859; AI3-04240; 1-Tetradecylene; (C14-C20) alpha-Olefin; S0344; Tetradecene; EINECS 272-493-2; 1-Tetradecene[StandardMaterialforGC]; AI3-10509; C14H28; (C14-C18) alpha-Olefin; CAS-1120-36-1; 629-59-4; Tox21_303051; C14; KB-13331; EC 214-306-9; ANW-42103; J-002695; DSSTox_CID_7367; AKOS015904124; NCGC00257042-01; HSDB 5728; ACM26952136; MCULE-5148675782; RTR-002355; .alpha.-Tetradecene; I14-17876; NSC-66434; ST51046152; 172456_ALDRICH; DSSTox_GSID_27367; Alkanes, C14-16; MolPort-001-792-158; C-28192; a-Tetradecene; n-Tetradecane; Alkenes, C14-18 alpha-; Jsp000915; 1120-36-1; ACMC-1BREL; UNII-5R30W51348 component HFDVRLIODXPAHB-UHFFFAOYSA-N; LMFA11000329; NSC 72440; CH3-[CH2]12-CH3; Alkenes, C14-20 alpha-; HSDB 1087; NCGC00164372-01; CC-05033; CCRIS 715; SBB008940; 74664-93-0; ZINC1693893; 442708_SUPELCO; FT-0608312; UNII-FW2348; tetradecane",C14H30,198.388
TCMBANKIN055305,alpha-Calacorene,α-calacorene; alpha-calacorene,C15H20,200.319
TCMBANKIN057142,Ruvoside,"UN2330; 1120-21-4; CAS-1120-21-4; LTBB002321; LS-158394; UN 2330; UNII-JV0QT00NUE; DSSTox_CID_1689; AI3-21126; U203; ACMC-209t6p; MolPort-001-783-218; Jsp000912; CCRIS 3796; Undecane [UN2330] [Flammable liquid]; EC 214-300-6; UND; undecyl group; 4-01-00-00487 (Beilstein Handbook Reference); KSC176C3J; Undecane; ANW-42095; 175476-97-8; DSSTox_RID_76285; AC1L23G2; n-Undecane, 99% 50g; Undekan; Undecane, 99%; QSPL 058; 17398EC4-D16F-42F6-8A27-60F8EC075469; BRN 1697099; Undecane, >=99%; TR-002350; InChI=1/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H; UNDECAN-2-YL; MCULE-7319807036; NSC 66159; EINECS 214-300-6; J-002689; RSJKGSCJYJTIGS-UHFFFAOYSA-N; NCGC00254001-01; DTXSID9021689; n-C11H24; U0002; S0283; undecan; DSSTox_GSID_21689; SC-79237; CHEMBL132474; Undecane, analytical standard; JV0QT00NUE; MFCD00008959; Hendekan; HSDB 5791; CH3-[CH2]9-CH3; NCGC00247896-01; C-28174; CC-33184; N-UNDECANE; AKOS005145675; FT-0633353; AN-20593; 61193-21-3; 55101-35-4; KS-00000WJI; NSC66159; NSC-66159; I14-60624; ZINC1693211; Hendecane; Decane, methyl-; n-Hendecane; LMFA11000591; CHEBI:46342; TRA0090240; Undecane [UN2330] [Flammable liquid]; DB-041031; CTK0H6134; RTR-002350; Tox21_300076;LMFA11000001; Tridekan; InChI=1/C13H28/c1-3-5-7-9-11-13-12-10-8-6-4-2/h3-13H2,1-2H; CH3-[CH2]11-CH3; 629-50-5; 91490_FLUKA; 442713_SUPELCO; HSDB 5727; n-Tridecane; EINECS 211-093-4; NSC66205; T57401_ALDRICH; Tridecane; CHEBI:35998; NSC 66205; TRIDECANE, N-; C13834;Tridekan; UNII-114P5I43UJ component IIYFAKIEWZDVMP-UHFFFAOYSA-N; MCULE-7749861366; U393; DB-054344; Tridecane_GurudeebanSatyavani; ACMC-209t6w; C13H28; C13834; N-TRIDECANE; 757DB156-6441-49B0-A824-1532074AC0F6; NCGC00257175-01; IIYFAKIEWZDVMP-UHFFFAOYSA-N; Tridecane, >=99%; TL8004327; MolPort-003-933-018; LS-157141; AN-22061; STL301147; CAS-629-50-5; tridecan; LMFA11000001; SC-74775; AC1L1ZHL; LTBB002872; DSSTox_CID_7266; C-28190; InChI=1/C13H28/c1-3-5-7-9-11-13-12-10-8-6-4-2/h3-13H2,1-2H; Tridecane, 99.0%; TRA0008560; I14-59696; KSC353S8D; UNII-FW7807707B component IIYFAKIEWZDVMP-UHFFFAOYSA-N; S0285; Dodecane, methyl-; AKOS016011009; FT-0632663; Tridecane, analytical standard; Alkanes, C12-14; MFCD00008979; UNII-A3LZF0L939; DSSTox_GSID_27266; RT-000404; CHEMBL135694; tridecyl group; KS-00000XDT; ST24031950; HSDB 5727; EINECS 211-093-4; AC1Q28TY; DSSTox_RID_78377; FT-0082500; DTXSID6027266; CC-33178; A3LZF0L939; Tox21_303043; NSC-66205; Tridecane; CH3-[CH2]11-CH3; CTK2F3981; TRD; EC 211-093-4; NSC66205; AK115985; ANW-42102; 629-50-5; CHEBI:35998; NSC 66205; TRIDECANE, N-; ZINC1693738;n-tridecane;TRD",C30H46O9,
TCMBANKIN057938,XLS,"D-XYLOSE (LINEAR FORM); (2R,3S,4R)-2,3,4,5-tetrahydroxyvaleraldehyde; D-xylo-pentose; CHEBI:15936; (2R,3S,4R)-2,3,4,5-tetrahydroxypentanal; D-Xyl; HSDB 3273; (2S,3R,4S,5R)-tetrahydropyran-2,3,4,5-tetrol; Xylose, pure; 141492-19-5; C02205; 25990-60-7; 2,3,4,5-Tetrahydroxypentanal; ZINC01529214; D-(+)-Xylose; Xylose, D- (8CI); (2S,3R,4S,5R)-oxane-2,3,4,5-tetrol; Xylose (VAN); alpha-D-xylopyranose; (+)-Xylose; tetrahydropyran-2,3,4,5-tetraol; CCRIS 1899; NSC 122762; FEMA No. 3606; BRN 1562108; XYLOPYRANOSE; Xylose, D-; (D)-XYLOSE; Xylomed; CHEBI:28518; 4-01-00-04223 (Beilstein Handbook Reference); C01394; D-Xylose (9CI); 133-56-2; EINECS 200-400-7; Xylo-Pfan; AI3-19010; 6763-34-4; EINECS 247-395-8; Xylose [USAN]; XYS",C5H10O5,150.13
