Ingredient ID,Formulae,Name,MW,AlogP,MlogP,XlogP,# HBA,# HBD,PSA,# Rotatable Bond,# Ring,# Heacy Atom,Lipinski RO5 Violation
TCMC2354,C10H14O,(4-Propan-2-Ylphenyl)Methanol,150.1,0.1242,2.45,3.809,1,1,20.23,5,1,11,0
TCMC2365,C20H22O6,(+)-Dehydrodiconiferyl Alcohol,358.14,-1.5041,3,1.561,2,3,88.38,11,3,26,0
TCMC2484,C10H18O,Terpineol,154.14,1.1223,2.45,1.947,1,1,20.23,5,1,11,0
TCMC2541,C10H18O,Alpha-Terpineol,154.14,1.1223,2.45,2.369,1,1,20.23,5,1,11,0
TCMC2694,C20H24O6,Isolariciresinol,360.16,-2.2141,3,1.061,2,4,99.38,11,3,26,0
TCMC2703,C19H21N3O2,Neoechinulin A,323.16,0.9533,3,3.683,5,3,80.97,8,3,24,0
TCMC274,C6H14O,1-Hexanol,102.1,-1.5494,2.01,1.989,1,1,20.23,6,0,7,0
TCMC2846,C8H8O4,Homogentisic Acid,167.0344337,-1.8034,1.9,-0.382,2,2,80.59,2,1,12,0
TCMC2868,C17H24O3,Shogaol,276.1725446,0.9279,3,5.665,3,1,46.53,4,2,20,1
TCMC2871,C6H8N2O2,3-Acetamino-5-Methyl Isooxazole,141.0664025,-2.1153,1.68,-0.753,1,2,45.71,0,2,10,0
TCMC2890,C6H12O,"Butylethylene Ether,Hexanal",100.088815,-0.9703,2.01,2.294,1,0,17.07,4,0,7,0
TCMC2903,C4H9NO2,Β-Aminobutyric Acid,103.0633285,-2.7553,1.57,-0.247,2,1,67.77,2,0,7,0
TCMC2904,C4H5ClO2,Methyl 2-Chloropropenoate,119.9978071,1.0874,1.57,1.11,2,0,26.3,2,0,7,0
TCMC2957,C5H12O2,"1,5-Pentadiol",104.0837296,-1.7614,1.79,-0.134,2,2,40.46,4,0,7,0
TCMC2983,C10H15NO,Ephedrine,166.1231891,-1.8514,2.34,2.632,1,2,36.84,3,1,12,0
TCMC3023,C7H6O,Benzaldehyde,106.0418648,0.9262,2.12,0.852,1,0,17.07,0,1,8,0
TCMC3053,C18H36O2,Ethyl Palmitate,284.2715304,-3.3963,3.22,8.314,2,0,26.3,16,0,20,2
TCMC3113,C8H16,1-Octene,112.1252005,0.5524,2.34,4.43,0,0,0,0,1,8,0
TCMC3291,C5H11NO,Pentaldehyde Oxime,102.091889,-1.695,1.79,-0.449,1,1,21.51,2,0,7,0
TCMC3334,C8H8O4,Homogentisic Acid,168.0422587,-1.3349,1.9,-0.519,4,0,52.6,0,3,12,0
TCMC3505,C17H36O,9-Heptadecanol,256.2766158,-4.4401,3.22,7.928,1,1,20.23,14,0,18,2
TCMC369,C8H18O,2-Ethylhexan-1-Ol,130.14,-1.2606,2.23,2.855,1,1,20.23,8,0,9,0
TCMC3828,C8H17N,Coniine,128.1439246,-2.8714,2.23,2.187,0,1,16.61,2,1,9,0
TCMC4023,C4H9NO2,Α-Aminobutyric Acid,103.0633285,-0.5744,1.57,-0.239,1,0,29.54,2,0,7,0
TCMC4076,C22H20O11,Baicalein,459.0927364,-3.4315,2.67,0.417,7,4,165.81,5,4,33,0
TCMC4112,C18H30O4,"12,13-Epoxy-9-Hydroxynonadeca-7,10-Dienoic Acid",310.2144094,-2.7393,3,3.815,2,2,58.92,11,1,22,1
TCMC4127,C4H5ClO2,Methyl-2-Chloropropenoate,118.989982,0.2517,1.57,0.291,2,0,40.13,1,0,7,0
TCMC4133,C10H16O,"Citral,Neral",152.1201151,2.4893,2.45,2.701,1,0,17.07,4,0,11,0
TCMC414,C14H20O,3-(4-Tert-Butylphenyl)-2-Methylpropanal,204.15,1.9798,2.89,6.362,1,0,17.07,8,1,15,1
TCMC4172,C21H18O11,Baicalin,445.0770864,-3.84,2.56,0.327,7,5,176.81,4,4,32,0
TCMC4193,C4H9NO2,Β-Aminobutyric Acid,103.0633285,-2.3258,1.57,-0.513,2,1,67.77,2,0,7,0
TCMC4448,C14H14O3,Bis(4-Hydroxybenzyl)Ether,230.0942943,-1.0515,2.67,2.644,1,2,49.69,4,2,17,0
TCMC482,C9H10O3,"4-[(E)-3-Hydroxyprop-1-Enyl]Benzene-1,2-Diol",166.06,-0.9015,2.12,1.045,1,3,60.69,5,1,12,0
TCMC4912,C15H24,"Caryophellene,Β-Elemene",204.1878008,3.2289,3.11,6.044,0,0,0,0,2,15,1
TCMC553,C6H6O3,5-Hydroxymethyl-Furfural,126.03,-0.7952,1.79,0.422,2,1,50.44,3,1,9,0
TCMC5595,C40H75NO9,"1-O-Β-D-Glucopyranosyl-(2S,3R,4E,11E)-2-(2'R-Hydroxyhexadecenoylamino)-4,11-Octadecadiene-1,3-Diol",713.544183,-7.9639,4.76,11.345,10,7,168.94,33,1,50,3
TCMC599,C13H10O,9H-Fluoren-9-Ol,182.07,-0.5107,2.78,4.522,1,1,20.23,1,3,14,0
TCMC6245,C11H22O,2-Undecanone,170.1670653,-0.3326,2.56,2.982,1,1,20.23,5,0,12,0
TCMC6296,C10H12O,Anethole,148.088815,-0.2971,2.45,3.266,0,0,9.23,0,2,11,0
TCMC632,C10H13N5O4,Adenosine,267.1,-2.2791,1.57,-1.809,9,4,139.54,6,3,19,0
TCMC761,C7H6O,Benzaldehyde,106.04,-0.1924,2.12,3.08,1,0,17.07,1,1,8,0
TCMC801,C29H50O,Beta-Sitosterol,414.39,1.3,4.54,11.595,1,1,20.23,13,4,30,1
TCMC817,C16H22O4,"Bis(2-Methylpropyl) Benzene-1,2-Dicarboxylate",278.15,0.9868,2.78,4.49,4,0,52.6,12,1,20,0
TCMC912,C15H10O4,Chrysophanol,254.06,-0.8062,2.67,1.627,2,2,74.6,3,3,19,0
TCMC915,C9H8O,Cinnamaldehyde,132.06,0.1687,2.34,3.985,1,0,17.07,2,1,10,0
TCMC924,C10H20O,Citronellol,156.15,1.4641,2.45,3.286,1,1,20.23,9,0,11,0
TCMC978,C9H13N3O5,Cytidine,243.09,-2.3883,1.57,-0.606,8,5,129.6,6,2,17,0
TCMC995,C35H60O6,Daucosterol,576.44,-0.4469,4.65,10.487,6,4,99.38,19,5,41,1
TCMC1038,C12H14O4,Diethyl Phthalate,222.09,0.5232,2.34,3.18,4,0,52.6,8,1,16,0
TCMC1041,C14H10O9,Digallic Acid,322.03,-2.6324,2.01,0.395,3,6,164.75,10,2,23,1
TCMC1065,C28H32O15,Diosmin,608.17,-4.9301,2.89,-0.819,10,8,234.29,17,5,43,1
TCMC1131,C9H6O4,Esculetin,178.03,-0.6506,2.01,0.998,1,2,66.76,2,2,13,0
TCMC1134,C10H12O,Estragole,148.09,0.9769,2.45,3.658,0,0,9.23,4,1,11,0
TCMC1157,C10H18O,Eucalyptol,154.14,1.3109,2.45,2.595,1,0,9.23,3,0,11,0
TCMC1172,C15H26O,Farnesol,222.2,3.5719,3,4.346,1,1,20.23,12,0,16,0
TCMC1180,C15H10O3,Flavonol,238.06,-0.96,2.78,5.648,2,1,46.53,2,3,18,1
TCMC1198,C15H12O6,Fustin,288.06,-2.4666,2.45,0.991,2,4,107.22,5,3,21,0
TCMC1238,C10H18O,Geraniol,154.14,2.3397,2.45,2.524,1,1,20.23,8,0,11,0
TCMC1239,C12H20O2,Geranyl Acetate,196.15,2.7188,2.56,3.264,2,0,26.3,10,0,14,0
TCMC1268,C23H28ClN3O5S,Glyburide,493.14,-1.4483,2.89,5.1,7,3,128.96,13,3,33,1
TCMC1320,C16H14O6,Hesperetin,302.08,-1.8662,2.56,0.453,1,3,96.22,6,3,22,0
TCMC1321,C28H34O15,Hesperidin,610.19,-4.86,2.89,-1.489,10,8,234.29,17,5,43,1
TCMC1374,C6H12O6,Inositol,180.06,-3.0642,1.46,-1.458,6,6,121.38,6,1,12,1
TCMC1389,C10H12O2,Isoeugenol,164.08,0.3952,2.34,2.805,0,1,29.46,5,1,12,0
TCMC1418,C21H20O10,Isovitexin,432.11,-4.1202,2.67,-0.508,6,7,177.14,10,4,31,1
TCMC1428,C16H12O6,Kaempferide,300.06,-1.9324,2.56,2.434,2,3,96.22,6,3,22,0
TCMC1429,C15H10O6,Kaempferol,286.05,-2.3409,2.45,1.915,2,4,107.22,5,3,21,0
TCMC1491,C26H30O8,Limonin,470.19,-0.4484,3.44,1.644,7,0,104.57,5,7,34,0
TCMC1721,C16H17NO2,N-[2-(4-Methoxyphenyl)Ethyl]Benzamide,255.13,-0.0904,2.89,5.063,2,1,41.82,7,2,19,1
TCMC1734,C15H12O5,Naringenin,272.07,-1.8144,2.56,0.897,1,3,86.99,4,3,20,0
TCMC1735,C27H32O14,Naringin,580.18,-4.8082,2.89,-1.045,10,8,225.06,15,5,41,1
TCMC1739,C12H20O2,Neryl Acetate,196.15,2.7188,2.56,3.264,2,0,26.3,10,0,14,0
TCMC1749,C21H22O8,Nobiletin,402.13,-0.8144,2.89,1.792,1,0,81.68,13,3,29,0
TCMC1777,C8H18O,Octanol,130.14,-2.1254,2.23,3.127,1,1,20.23,8,0,9,0
TCMC1780,C8H11NO2,Octopamine,153.08,-1.7093,2.01,0.074,2,3,66.48,5,1,11,0
TCMC1803,C15H16O3,Osthole,244.11,2.0956,2.78,3.521,1,0,35.53,6,2,18,0
TCMC1808,C9H13NO2,Oxedrine,167.09,-1.2775,2.12,0.464,2,3,52.49,6,1,12,0
TCMC1858,C16H14O4,Pentosalen,270.09,1.5296,2.78,2.891,1,0,48.67,5,3,20,0
TCMC1860,C10H14O,Perillaldehyde,150.1,1.308,2.45,2.355,1,0,17.07,3,1,11,0
TCMC1960,C10H15NO,Pseudoephedrine,165.12,-0.8279,2.34,2.52,2,2,32.26,6,1,12,0
TCMC1996,C19H24O5,R-(+)-Marmin,332.16,0.4392,3,2.725,3,2,75.99,12,2,24,0
TCMC2020,C15H10O7,Robinetin,302.04,-2.8012,2.34,1.81,2,5,127.45,6,3,22,0
TCMC2037,C7H6O3,Salicylic Acid,138.03,-0.7001,1.9,2.264,2,2,57.53,3,1,10,0
TCMC2065,C14H12O3,Sesalin,228.08,1.1778,2.67,2.932,1,0,35.53,2,3,17,0
TCMC2084,C11H12O5,Sinapinate,224.07,-0.4426,2.12,0.787,2,2,75.99,8,1,16,0
TCMC2085,C20H20O7,Sinensetin,372.12,-0.7626,2.89,2.236,1,0,72.45,11,3,27,0
TCMC2123,C20H20O7,Tangeretin,372.12,-0.7626,2.89,2.236,1,0,72.45,11,3,27,0
TCMC2124,C76H52O46,Tannic Acid,1700.17,-12.6304,4.76,2.662,16,25,777.98,56,11,122,3
TCMC2140,C12H19NO3,Terbutaline,225.14,-0.8065,2.34,0.801,2,4,72.72,10,1,16,0
TCMC2153,C19H18O6,Tetramethylscutellarein,342.11,-0.7108,2.89,2.68,1,0,63.22,9,3,25,0
TCMC2199,C8H11NO,Tyramine,137.08,-0.943,2.12,1.104,1,2,46.25,4,1,10,0
TCMC2204,C9H6O3,Umbelliferone,162.03,-0.1903,2.12,1.532,1,1,46.53,1,2,12,0
TCMC2539,C10H16,Gamma-Terpinene,136.13,2.4017,2.56,3.852,0,0,0,4,1,10,0
TCMC2550,C15H24,(+)-Germacrene D,204.19,2.7967,3.11,6.294,0,0,0,4,1,15,1
TCMC2578,C10H12O2,Isoeugenol,164.08,0.3952,2.34,2.805,0,1,29.46,5,1,12,0
TCMC2815,C15H24,Caryophyllene,204.19,3.2289,3.11,6.044,0,0,0,3,2,15,1
TCMC2873,C16H14O6,Hesperitin,302.0790382,-1.8662,2.56,0.453,1,3,96.22,2,3,22,0
TCMC2932,C10H14,"P-Cymol,P-Cymene,Umbelliferone",134.1095504,1.2149,2.56,5.785,0,0,0,1,1,10,1
TCMC2985,C9H13NO,N-Methyltyramine,152.1075391,-1.5347,2.23,1.606,0,2,36.84,3,1,11,0
TCMC3126,C10H16,"1-Isopropyl-4-Methylenebicyclo[3.1.0]Hexane,Sabinene",136.1252005,1.0301,2.56,4.222,0,0,0,1,2,10,0
TCMC3205,C26H30O8,Obaculactone,470.1940679,-0.4484,3.44,1.644,7,0,104.57,1,7,34,0
TCMC3237,C28H34O9,Nomilin,514.2202827,0.2549,3.55,2.498,8,0,121.64,3,6,37,0
TCMC3281,C18H16O5,"5,7,4'-Trimethoxyflavone",312.0997736,-0.292,2.89,2.683,1,0,44.76,4,3,23,0
TCMC3847,C26H32O9,Ichangin,488.2046326,-1.2149,3.33,0.626,8,2,135.8,2,6,35,0
TCMC3891,C27H32O14,Naringenin-7-Rutinoside,580.1792057,-4.8082,2.89,-1.045,10,8,225.06,6,5,41,1
TCMC3895,C28H34O15,Neohesperidin,610.1897704,-4.86,2.89,-1.489,10,8,234.29,7,5,43,1
TCMC3896,C28H34O14,Poncirin,594.1948558,-4.3997,3,-0.526,10,7,214.06,7,5,42,1
TCMC4065,C19H18O6,"5,7,8,4'-Tetramethoxyflavone",342.1103383,-0.3438,2.89,2.239,1,0,53.99,5,3,25,0
TCMC4066,C20H20O7,Isosinensetin,372.120903,-0.3956,2.89,1.795,1,0,63.22,6,3,27,0
TCMC4182,C19H22O3,Aurapten,298.1568946,2.9837,3.22,5.598,1,0,26.3,6,2,22,1
TCMC4283,C16H22O8,Coniferin,342.1314677,-2.2399,2.34,0.027,6,5,128.84,6,2,24,0
TCMC4383,C27H30O14,Apigenin-7-O-Neohesperidoside,578.1635556,-4.6859,2.89,-0.792,13,8,215.83,6,5,41,2
TCMC4384,C27H30O15,Lonicerin,594.1584703,-5.1462,2.78,-1.326,13,9,236.06,6,5,42,2
TCMC4722,C20H24O4,6-Methoxyaurapten,328.1674592,2.9319,3.22,5.154,1,0,35.53,7,2,24,1
TCMC474,C9H13NO2,4-[(1R)-1-Hydroxy-2-(Methylamino)Ethyl]Phenol,167.09,-1.2775,2.12,0.464,2,3,52.49,6,1,12,0
TCMC475,C8H11NO2,4-[(1R)-2-Amino-1-Hydroxyethyl]Phenol,153.08,-1.7093,2.01,0.074,2,3,66.48,5,1,11,0
TCMC4818,C26H30O7,Obacunone,454.1991533,0.7128,3.55,2.69,6,0,95.34,1,6,33,0
TCMC487,C6H7NO3S,4-Azaniumylbenzenesulfonate,173.01,-1.2914,1.57,-0.015,4,2,88.77,3,1,11,0
TCMC4926,C9H6O4,"5,7-Dihydroxycoumarin",178.0266087,-0.6783,2.01,-0.144,1,2,57.53,0,2,13,0
TCMC525,C15H12O5,"5,7-Dihydroxy-2-(4-Hydroxyphenyl)-2,3-Dihydrochromen-4-One",272.07,-1.8144,2.56,0.897,1,3,86.99,4,3,20,0
TCMC542,C20H20O8,5-Demethylnobiletin,388.12,-1.2229,2.78,1.273,1,1,92.68,12,3,28,0
TCMC548,C28H34O15,"5-Hydroxy-2-(3-Hydroxy-4-Methoxyphenyl)-7-[3,4,5-Trihydroxy-6-[(3,4,5-Trihydroxy-6-Methyloxan-2-Yl)Oxymethyl]Oxan-2-Yl]Oxy-2,3-Dihydrochromen-4-One",610.19,-4.86,2.89,-1.489,10,8,234.29,17,5,43,1
TCMC5842,C27H36O13,Citrusin B,568.2155912,-3.5074,3,-0.374,8,7,196.99,13,3,40,2
TCMC59,C15H20O4,"(2E,4E)-5-(1-Hydroxy-2,6,6-Trimethyl-4-Oxocyclohex-2-En-1-Yl)-3-Methylpenta-2,4-Dienoic Acid",264.14,1.783,2.67,0.878,4,2,74.6,9,1,19,0
TCMC619,C7H16NO2,Acetylcholine,146.12,-1.195,1.9,-0.097,2,0,26.3,8,0,10,0
TCMC6335,C28H34O14,Isosakuranetin-7-Rutinoside,594.1948558,-4.3997,3,-0.526,10,7,214.06,7,5,42,1
TCMC6356,C34H48O16,Nomilinic Acid Glucoside,710.2785854,-4.0656,3.44,-1.212,15,5,268.91,12,5,50,2
TCMC6382,C33H42O19,Naringenin-4'-Glucoside-7-Rutinoside,742.2320291,-6.5551,3,-2.153,15,11,304.21,9,6,52,2
TCMC6571,C27H32O15,Eriocitrin,596.1741203,-5.3779,2.78,-1.248,11,10,256.29,6,5,42,2
TCMC71,C16H14O6,"(2R)-5,7-Dihydroxy-2-(3-Hydroxy-4-Methoxyphenyl)-2,3-Dihydrochromen-4-One",302.08,-1.8662,2.56,0.453,1,3,96.22,6,3,22,0
TCMC731,C6H8O6,Ascorbate,176.03,-1.7593,1.46,-0.178,6,4,107.22,6,1,12,0
TCMC749,C19H22O3,Auraptene,298.16,2.9159,3.22,5.074,1,0,35.53,9,2,22,1
TCMC787,C12H8O4,Bergapten,216.04,0.0641,2.34,1.69,1,0,48.67,2,3,16,0
TCMC791,C40H56,Beta Carotene,536.44,8.935,5.86,14.734,0,0,0,20,2,40,1
TCMC872,C10H14O,Carvacrol,150.1,0.7546,2.45,3.556,0,1,20.23,5,1,11,0
TCMC922,C10H16O,Citral,152.12,2.4893,2.45,2.701,1,0,17.07,7,0,11,0
TCMC948,C9H8O3,Coumaric Acid,164.05,-0.339,2.12,1.886,2,2,57.53,4,1,12,0
TCMC999,C10H20O2,Decanoic Acid,172.15,-2.1697,2.34,4.156,2,1,37.3,10,0,12,0
TCMC1080,C20H38O7S,Docusate,422.23,-2.4466,2.78,5.04,7,1,115.35,23,0,28,2
TCMC1105,C15H10O5,Emodin,270.05,-1.2665,2.56,0.664,2,3,94.83,4,3,20,0
TCMC1106,C15H12O4,Emodin Anthrone,256.07,-0.5465,2.67,1.793,1,3,77.76,4,3,19,0
TCMC1113,C22H18O10,Epicatechin Gallate,442.09,-3.5057,2.78,1.228,2,7,177.14,11,4,32,1
TCMC1202,C7H6O5,Gallic Acid,170.02,-1.6207,1.68,0.002,2,4,97.99,5,1,12,0
TCMC1203,C8H8O5,Gallic Acid Methyl Ester,184.04,-1.3697,1.79,0.323,2,3,86.99,6,1,13,0
TCMC1281,C42H62O16,Glycyrrhizin,822.4,-1.6063,4.32,4.414,16,8,267.04,22,7,58,2
TCMC13,C15H14O6,(-)-Epicatechin,290.08,-2.494,2.45,0.406,1,5,110.38,6,3,21,0
TCMC1334,C18H18O2,Honokiol,266.13,1.1368,3.22,5.024,0,2,40.46,7,2,20,1
TCMC143,C42H38O20,"(9R)-9-[(9R)-2-Carboxy-4-Hydroxy-10-Oxo-5-[(3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy-9H-Anthracen-9-Yl]-4-Hydroxy-10-Oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy-9H-Anthracene-2-Carboxylic Acid",862.2,-6.3452,3.88,0.662,16,12,347.96,21,8,62,2
TCMC1523,C18H18O2,Magnolol,266.13,1.1368,3.22,5.446,0,2,40.46,7,2,20,1
TCMC179,C30H28O8,"(Z)-1-[6-[(3-Acetyl-2,4,6-Trihydroxy-5-Methylphenyl)Methyl]-5,7-Dihydroxy-2,2-Dimethylchromen-8-Yl]-3-Phenylprop-2-En-1-One",516.18,-0.4521,3.88,5.124,2,5,144.52,15,4,38,1
TCMC182,C9H8O4,"(Z)-3-(3,4-Dihydroxyphenyl)Prop-2-Enoic Acid",180.04,-0.7993,2.01,1.141,2,3,77.76,5,1,13,0
TCMC1889,C16H12O5,Physcion,284.07,-0.858,2.67,1.183,2,2,83.83,5,3,21,0
TCMC1890,C28H32O15,Physcion-8-O-Gentiobioside,608.17,-4.3518,2.89,-1.462,12,8,242.13,17,5,43,2
TCMC1892,C14H12O4,Piceatannol,244.07,-1.3734,2.56,2.691,0,4,80.92,6,2,18,0
TCMC1967,C14H8O5,Purpurin,256.04,-1.9085,2.45,1.192,2,3,94.83,3,3,19,0
TCMC1990,C14H8O6,Quinalizarin,272.03,-2.3688,2.34,-0.193,2,4,115.06,4,3,20,0
TCMC2003,C14H12O3,Resveratrol,228.08,-0.9131,2.67,3.436,0,3,60.69,5,2,17,0
TCMC2004,C15H14O3,Resveratrol 4'-Methyl Ether,242.09,-0.5046,2.78,3.955,0,2,49.69,6,2,18,0
TCMC2014,C15H8O6,Rhein,284.03,-1.688,2.45,0.541,4,3,111.9,4,3,21,0
TCMC2061,C42H38O20,Sennoside B,862.2,-6.3452,3.88,0.662,16,12,347.96,21,8,62,2
TCMC2063,C10H12N2O,Serotonin,176.09,-1.3634,2.23,0.547,2,3,62.04,4,2,13,0
TCMC2304,C27H24O18,"1,2,6-Tri-O-Galloyl-Beta-D-Glucose",636.1,-5.5485,2.45,-0.518,9,11,310.66,21,4,45,1
TCMC2355,C14H14O4,Torachrysone,246.09,-0.5843,2.56,1.923,1,2,66.76,7,2,18,0
TCMC2486,C20H24O9,Torachrysone 8-O-Glucoside,408.14,-2.3312,2.67,0.815,6,5,145.91,13,3,29,0
TCMC255,C15H12O4,"1,8-Dihydroxy-3-Methyl-4A,9A-Dihydroanthracene-9,10-Dione",256.07,-0.4584,2.67,0.487,3,2,74.6,3,3,19,0
TCMC2641,C21H20O9,Pulmatin,416.11,-2.5531,2.78,0.519,7,5,153.75,9,4,30,0
TCMC2699,C25H24O11,Catechin Pentaacetate,500.13,-0.5985,3,3.677,6,0,140.73,16,3,36,1
TCMC2806,C13H12O4,5-Acetonyl-7-Hydroxy-2-Methylchromone,232.07,-0.7435,2.45,0.874,2,1,63.6,5,2,17,0
TCMC3188,C23H26O11,Lindleyin,478.1475117,-3.3756,2.78,1.181,7,6,183.21,9,3,34,1
TCMC3216,C15H12O3,"Chrysarobin,Chrysophanol-9-Anthrone",240.0786442,-0.0862,2.78,2.967,1,2,57.53,0,3,18,0
TCMC3220,C10H13NO3,Rhatannin,195.0895433,-2.8142,2.12,0.61,2,2,76.97,4,1,14,0
TCMC3240,C42H38O20,Sennoside A,860.1799936,-7.7008,3.88,-0.3,16,10,353.62,9,8,62,2
TCMC3331,C30H18O10,Sennidin A,536.0743467,-4.207,3.66,1.916,6,4,195.32,3,6,40,0
TCMC3367,C21H20O10,Emodin-1-O-Β-D-Glucopyranoside,432.1056468,-3.0134,2.67,-0.444,7,6,173.98,3,4,31,1
TCMC3377,C19H22O9,6-Hydroxymusizin-8-O-Β-D-Glucoside,394.1263823,-2.7397,2.56,0.296,6,6,156.91,4,3,28,1
TCMC3441,C30H18O10,Sennidinb,536.0743467,-4.207,3.66,1.916,6,4,195.32,3,6,40,0
TCMC3446,C44H34O20,"Procyanidin B2 3,3'-Di-O-Gallate",882.1643435,-7.2047,4.1,1.809,4,14,354.28,9,8,64,1
TCMC3479,C13H16O10,6-O-Galloylglucose,332.0743467,-3.8023,1.79,-2.503,7,7,184.98,8,1,23,1
TCMC3514,C21H20O10,Aloeemodin-Ω-O-Β-D-Glucopyranoside,432.1056468,-3.6438,2.67,-0.824,8,6,173.98,4,4,31,1
TCMC3515,C30H26O12,Procyanidin B4,578.1424263,-5.1813,3.44,0.165,2,10,220.76,3,6,42,1
TCMC3539,C16H24O9,Rheinosidea,360.1420323,-3.6937,2.23,-0.579,9,5,142.67,3,3,25,0
TCMC3607,C42H40O19,Sennosidec,847.208554,-7.2319,3.99,-0.076,15,11,333.72,9,8,61,2
TCMC3637,C22H22O10,Physcion-8-O-Β-D-Glucopyranoside,446.1212969,-2.6049,2.78,0.075,7,5,162.98,4,4,32,0
TCMC3817,C20H20O14,"1,6-Di-O-Galloyl-Β-Glucose",484.0853053,-4.5368,2.12,-0.911,8,9,243.9,7,3,34,1
TCMC3994,C26H34O14,Torachrysone8-O-Β-D-Glucopyranoside,570.1948558,-4.0781,2.78,-0.722,11,8,225.06,8,4,40,2
TCMC4,C22H18O10,(-)-Catechingallate,442.09,-3.5057,2.78,1.228,2,7,177.14,11,4,32,1
TCMC4088,C21H24O9,Rhaponticin,420.1420323,-2.7118,2.78,1.673,5,6,149.07,6,3,30,1
TCMC416,C22H18O10,"3,4,5-Trihydroxy-Benzoic Acid (2S,3S)-2-(3,4-Dihydroxy-Phenyl)-5,7-Dihydroxy-Chroman-3-Yl Ester",442.09,-3.5057,2.78,1.228,2,7,177.14,11,4,32,1
TCMC4291,C15H18O7,2-O-Cinnamoyl-Β-Glucose,310.1052529,-1.7831,2.34,2.598,7,4,116.45,5,2,22,0
TCMC4459,C17H18O10,5-Carboxy-7-Glucosyloxy-2-Methyl-Benzopyran-Γ-One,381.0821717,-3.2515,2.23,-1.413,8,4,156.58,4,3,27,0
TCMC4460,C11H8O5,5-Carboxy-7-Hydroxy-2-Methyl-Benzopyran-Γ-One,219.0293483,-1.5046,2.12,-0.305,3,1,77.43,1,2,16,0
TCMC4467,C12H10O4,5-Acetyl-7-Hydroxy-2-Methylbenzopyran-Γ-One,218.0579088,-0.8409,2.34,0.441,2,1,54.37,1,2,16,0
TCMC4469,C22H22O11,2-O-Cinnamoyl-Glucogallin,462.1162115,-2.7948,2.67,2.991,8,6,183.21,8,3,33,1
TCMC4567,C13H16O10,6-O-Galloyl-Glucose,332.0743467,-3.5251,1.79,-1.304,7,7,177.14,4,2,23,1
TCMC4713,C21H20O10,Anthraglycoside B,432.1056468,-3.0134,2.67,-0.444,7,6,173.98,3,4,31,1
TCMC4747,C12H12O5,2-Methyl-5-Carboxymethyl-7-Hydroxychromanone,235.0606485,-1.7253,2.23,-0.281,3,1,86.66,2,2,17,0
TCMC4796,C19H22O8,Musizin-8-O-Β-D-Glucoside,378.1314677,-2.2794,2.67,1.47,6,5,136.68,4,3,27,0
TCMC4832,C16H22O7,Phenylbutanone-Glucoside,326.136553,-2.3639,2.45,0.788,6,4,116.45,6,2,23,0
TCMC4834,C28H32O15,Physcion-8-O-Β-D-Gentiobioside,608.1741203,-4.3518,2.89,-1.462,12,8,242.13,7,5,43,2
TCMC4847,C15H14O4,Rhapontigenin,258.0892089,-0.9649,2.67,2.781,0,3,69.92,3,2,19,0
TCMC4848,C21H18O11,Rhein-8-O-Β-D-Glucopyranoside,445.0770864,-4.1127,2.56,-1.048,9,5,193.88,4,4,32,0
TCMC4892,C22H24O12,Torachrysone-8-O-Β-D-(6'-Oxayl)-Glucoside,479.1189512,-2.8796,2.56,0.037,9,4,192.11,8,3,34,0
TCMC4908,C27H26O12,Resveratrol-4'-O-(6''-O-Galloyl)-Β-D-Glucopyranoside,542.1424263,-3.6717,3.11,2.721,6,8,206.6,8,4,39,1
TCMC4909,C20H22O8,Resveratrol-4'-O-Β-D-Glucoside,390.1314677,-2.66,2.78,2.328,5,6,139.84,5,3,28,1
TCMC5035,C21H24O11,(+)-Catechin-5-O-Glucoside,452.1318616,-4.2409,2.56,-0.702,6,8,189.53,4,4,32,1
TCMC5037,C21H20O9,Chrysophanol-1-O-Β-D-Glucoside,416.1107322,-2.5531,2.78,0.519,7,5,153.75,3,4,30,0
TCMC5041,C29H26O15,"1,6-Digalloyl-2-Cinnamoyl-Glucose",614.1271701,-3.8065,3,3.384,9,8,249.97,11,4,44,2
TCMC5123,C35H46O19,Rheinosidec,770.2633293,-5.5447,3.22,-1.036,15,11,304.21,13,5,54,3
TCMC5126,C34H44O19,Rheinosideb,756.2476792,-5.534,3.11,-1.496,15,11,304.21,13,5,53,3
TCMC5127,C35H46O19,Rheinosided,770.2633293,-5.1255,3.22,-1.406,15,10,293.21,14,5,54,3
TCMC5386,C23H26O11,Isolindleyin,478.1475117,-3.3756,2.78,1.181,7,6,183.21,9,3,34,1
TCMC5650,C30H26O12,Procyanidin B1,578.1424263,-5.1813,3.44,0.165,2,10,220.76,3,6,42,1
TCMC5838,C20H22O9,"3,4,3',5'-Tetrahydroxystilbene-3-Glucoside",406.1263823,-3.1203,2.67,1.154,5,7,160.07,5,3,29,1
TCMC5841,C15H18O7,2-Cinnamoyl-Glucose,310.1052529,-1.7831,2.34,2.169,7,4,116.45,5,2,22,0
TCMC5846,C20H20O14,Gallic Acid-4-O-(6'-O-Galloyl)-Glucoside,483.0774803,-5.0571,2.12,-2.052,8,8,246.73,7,3,34,1
